[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[15537]12130   'And by the time she had interpreted Harry's dreams at the top of her voice (all of which, even the ones that involved eating porridge, apparently foretold a gruesome and early death), he was feeling much less sympathetic towards her
[15538]3401    All the while, Professor Umbridge stood a few feet away, making notes on that clipboard, and when the bell rang she descended the silver ladder first and was waiting for them all when they reached their Defence Against the Dark Arts lesson ten minutes later
[15539]594   She was humming and smiling to herself when they entered the room
[15540]13908    Harry and Ron told Hermione, who had been in Arithmancy, exactly what had happened in Divination while they all took out their copies of Defensive Magical Theory, but before Hermione could ask any questions Professor Umbridge had called them all to order and silence fell
[15541]904   Wands away,' she instructed them all with a smile, and those people who had been hopeful enough to take them out, sadly returned them to their bags
[15542]1536    As we finished Chapter One last lesson, I would like you all to turn to page nineteen today and commence Chapter Two, Common Defensive Theories and their Derivation"
[15543]303    There will be no need to talk
[15544]543   'Still smiling her wide, self-satisfied smile, she sat down at her desk
[15545]776    The class gave an audible sigh as it turned, as one, to page nineteen
[15546]8518    Harry wondered dully whether there were enough chapters in the book to keep them reading through all this years lessons and was on the point of checking the contents page when he noticed that Hermione had her hand in the air again
[15547]2233   Professor Umbridge had noticed, too, and what was more, she seemed to have worked out a strategy for just such an eventuality
[15548]5473    Instead of trying to pretend she had not noticed Hermione she got to her feet and walked around the front row of desks until they were face to face, then she bent down and whispered, so that the rest of the class could not hear, What is it this time, Miss Granger
[15549]7698  'I've already read Chapter Two,' said Hermione
[15550]180   Well then, proceed to Chapter Three
[15551]821   'I've read that too
[15552]895    I've read the whole book
[15553]1352   'Professor Umbridge blinked but recovered her poise almost instantly
[15554]768   Well, then, you should be able to tell me what Slinkhard says about counter-jinxes in Chapter Fifteen
[15555]6863   'He says that counter-jinxes are improperly named,' said Hermione promptly
[15556]1915    He says counter-jinx is just a name people give their jinxes when they want to make them sound more acceptable
[15557]7513   'Professor Umbridge raised her eyebrows and Harry knew she was impressed, against her will
[15558]1707   But I disagree,' Hermione continued
[15559]6506   Professor Umbridge's eyebrows rose a little higher and her gaze became distinctly colder
[15560]4   You disagree
[15561]53  ' she repeated
[15562]8599   Yes, I do,' said Hermione, who, unlike Umbridge, was not whispering, but speaking in a clear, carrying voice that had by now attracted the attention of the rest of the class
[15563]372    Mr
[15564]3265    Slinkhard doesn't like jinxes, does he
[15565]658   But I think they can be very useful when they're used defensively
[15566]362   'Oh, you do, do you
[15567]6455  ' said Professor Umbridge, forgetting to whisper and straightening up
[15568]851    Well, I'm afraid it is Mr
[15569]4942    Slinkhard's opinion, and not yours, that matters within this classroom, Miss Granger
[15570]1736   'But-' Hermione began
[15571]6408   That is enough,' said Professor Umbridge
[15572]670    She walked back to the front of the class and stood before them, all the jauntiness she had shown at the beginning of the lesson gone
[15573]1057    Miss Granger, I am going to take five points from Gryffindor house
[15574]48   'There was an outbreak of muttering at this
[15575]0   What for
[15576]10901  ' said Harry angrily
[15577]2947   Don't you get involved
[15578]1761  ' Hermione whispered urgently to him
[15579]6576   For disrupting my class with pointless interruptions,' said Professor Umbridge smoothly
[15580]935    I am here to teach you using a Ministry-approved method that does not include inviting students to give their opinions on matters about which they understand very little
[15581]15341    Your previous teachers in this subject may have allowed you more licence, but as none of them-with the possible exception of Professor Quirrell, who did at least appear to have restricted himself to age-appropriate subjects-would have passed a Ministry inspection-'Yeah, Quirrell was a great teacher,' said Harry loudly, there was just that minor drawback of him having Lord Voldemort sticking out of the back of his head
[15582]6130   'This pronouncement was followed by one of the loudest silences Harry had ever heard
[15583]6096    Then-I think another week's detentions would do you some good, Mr
[15584]6121    Potter,' said Umbridge sleekly
[15585]11112   The cut on the back of Harry's hand had barely healed and, by the following morning, it was bleeding again
[15586]6826    He did not complain during the evening's detention; he was determined not to give Umbridge the satisfaction; over and over again he wrote I must not tell lies and not a sound escaped his lips, though the cut deepened with every letter
[15587]10995   The very worst part of this second week's worth of detentions v/as, just as George had predicted, Angslina's reaction
[15588]3160    She cornered him just as he arrived at the Gryffindor table for breakfast on Tuesday and shouted so loudly that Professor McGonagall came sweeping down upon the pair of them from the staff table
[15589]771   Miss Johnson, how dare you make such a racket in the Great Hall
[15590]242   Five points from Gryffindor
[15591]10921  'But Professor- he's gone and landed himself in detention again-'What's this, Potter
[15592]11887  ' said Professor McGonagall sharply, rounding on Harry
[15593]44    Detention
[15594]0   From whom
[15595]13499  'From Professor Umbridge,' muttered Harry, not meeting Professor McGonagall's beady, square-framed eyes
[15596]12570   Are you telling me,' she said, lowering her voice so that the group of curious Ravenclaws behind them could not hear, that after the warning I gave you last Monday you lost your temper in Professor Umbridge's class again
[15597]6443  'Yes,' Harry muttered, speaking to the floor
[15598]489   Potter, you must get a grip on yourself
[15599]99   You are heading for serious trouble
[15600]242   Another five points from Gryffindor
[15601]0  'But-what-
[15602]751   Professor, no
[15603]11346  ' Harry said, furious at this injustice, I'm already being punished by her, why do you have to take points as well
[15604]53  ' Because detentions do not appear to have any effect on you whatsoever
[15605]6095  ' said Professor McGonagall tartly
[15606]542    No, not another word of complaint, Potter
[15607]469   And as for you, Miss Johnson, you will confine your shouting matches to the Quidditch pitch in future or risk losing the team captaincy
[15608]1297  'Professor McGonagall strode back towards the staff table
[15609]8934    Angelina gave Harry a look of deepest disgust and stalked away, upon which he flung himself on to the bench beside Ron, fuming
[15610]6408   She's taken points off Gryffindor because I'm having my hand sliced open every night
[15611]11   How is that fair, how
[15612]23345  'I know, mate,' said Ron sympathetically, tipping bacon on to Harry's plate, she's bang out of order
[15613]6883   'Hermione, however, merely rustled the pages of her Daily Prophet and said nothing
[15614]1374   You think McGonagall was right, do you
[15615]18067  ' said Harry angrily to the picture of Cornelius Fudge obscuring Hermione's face
[15616]21579   I wish she hadn't taken points from you, but I think she's right to warn you not to lose your temper with Umbridge,' said Hermione's voice, while Fudge gesticulated forcefully from the front page, clearly giving some kind of speech
[15617]8277   Harry did not speak to Hermione all through Charms, but when they entered Transfiguration he forgot about being cross with her
[15618]2819    Professor Umbridge and her clipboard were sitting in a corner and the sight of her drove the memory of breakfast right out of his head
[15619]2414   Excellent,' whispered Ron, as they sat down in their usual seats
[15620]5644    Let's see Umbridge get what she deserves
[15621]3162   'Professor McGonagall marched into the room without giving the slightest indication that she knew Professor Umbridge was there
[15622]5358   That will do,' she said and silence fell immediately
[15623]372    Mr
[15624]14852    Finnigan, kindly come here and hand back the homework-Miss Brown, please take this box of mice-don't be silly, girl, they won't hurt you-and hand one to each student-'Hem, hem,' said Professor Umbridge, employing the same silly little cough she had used to interrupt Dumbledore on the first night of term
[15625]1029    Professor McGonagall ignored her
[15626]17597    Seamus handed back Harry's essay; Harry took it without looking at him and saw, to his relief, that he had managed an A'
[15627]1951   Right then, everyone, listen closely-Dean Thomas, if you do that to the mouse again I shall put you in detention-most of you have now successfully Vanished your snails and even those who were left with a certain amount of shell have got the gist of the spell
[15628]6540    Today, we shall be-'Hem, hem,' said Professor Umbridge
[15629]292   Yes
[15630]6879  ' said Professor McGonagall, turning round, her eyebrows so close together they seemed to form one long, severe line
[15631]10561   I was just wondering, Professor, whether you received my note telling you of the date and time of your inspec-'Obviously I received it, or I would have asked you what you are doing in my classroom,' said Professor McGonagall, turning her back firmly on Professor Umbridge
[15632]266    Many of the students exchanged looks of glee
[15633]241    As I was saying: today, we shall be practising the altogether more difficult Vanishment of mice
[15634]150    Now, the Vanishing Spell-'Hem, hem
[15635]7977   'I wonder,' said Professor McGonagall in cold fury, turning on Professor Umbridge, how you expect to gain an idea of my usual teaching methods if you continue to interrupt me
[15636]589   You see, I do not generally permit people to talk when I am talking
[15637]3332   'Professor Umbridge looked as though she had just been slapped in the face
[15638]1097    She did not speak, but straightened the parchment on her clipboard and began scribbling furiously
[15639]1775   Looking supremely unconcerned, Professor McGonagall addressed the class once more
[15640]300   As I was saying: the Vanishing Spell becomes more difficult with the complexity of the animal to be Vanished
[15641]140    The snail, as an invertebrate, does not present much of a challenge; the mouse, as a mammal, offers a much greater one
[15642]426    This is not, therefore, magic you can accomplish with your mind on your dinner
[15643]1096    So- you know the incantation, let me see what you can do 
[15644]0   
[15645]0   
[15646]631   'How she can lecture me about not losing my temper with Umbridge
[15647]9209  ' Harry muttered to Ron under his breath, but he was grinning-his anger with Professor McGonagall had quite evaporated
[15648]5192   Professor Umbridge did not follow Professor McGonagall around the class as she had followed Professor Trelawney; perhaps she realised Professor McGonagall would not permit it
[15649]3304    She did, however, take many more notes while sitting in her corner, and when Professor McGonagall finally told them all to pack away, she rose with a grim expression on her face
[15650]12513   Well, it's a start,' said Ron, holding up a long wriggling mouse-tail and dropping it back into the box Lavender was passing around
[15651]10918   As they filed out of the classroom, Harry saw Professor Umbndge approach the teachers desk; he nudged Ron, who nudged Hermione in turn, and the three of them deliberately fell back to eavesdrop
[15652]620   How long have you been teaching at Hogwarts
[15653]1678  ' Professor Umbridge asked
[15654]6475   Thirty-nine years this December,' said Professor McGonagall brusquely, snapping her bag shut
[15655]1378   Professor Umbridge made a note
[15656]5750   Very well,' she said, you will receive the results of your inspection in ten days' time
[15657]7332   'I can hardly wait,' said Professor McGonagall, in a coldly indifferent voice, and she strode off towards the door
[15658]9504    Hurry up, you three,' she added, sweeping Harry, Ron and Hermione before her
[15659]6157   Harry could not help giving her a faint smile and could have sworn he received one in return
[15660]1719   He had thought that the next time he would see Umbridge would be in his detention that evening, but he was wrong
[15661]1456    When they walked down the lawns towards the Forest for Care of Magical Creatures, they found her and her clipboard waiting for them beside Professor Grubbly-Plank
[15662]198   You do not usually take this class, is that correct
[15663]7222  ' Harry heard her ask as they arrived at the trestle table where the group of captive Bowtruckles were scrabbling around for woodlice like so many living twigs
[15664]6562   Quite correct,' said Professor Grubbly-Plank, hands behind her back and bouncing on the balls of her feet
[15665]1622    I am a substitute teacher standing in for Professor Hagrid
[15666]9473   'Harry exchanged uneasy looks with Ron and Hermione
[15667]1904    Malfoy was whispering with Crabbe and Goyle; he would surely love this opportunity to tell tales on Hagrid to a member of the Ministry
[15668]13159   Hmm,' said Professor Umbridge, dropping her voice, though Harry could still hear her quite clearly
[15669]6869    I wonder-the Headmaster seems strangely reluctant to give me any information on the matter-can you tell me what is causing Professor Hagrid's very extended leave of absence
[15670]7795  'Harry saw Malfoy look up eagerly and watch Umbridge and Grubbly-Plank closely
[15671]8228   ' Fraid I can't,' said Professor Grubbly-Plank breezily
[15672]3712    Don't know anything more about it than you do
[15673]2567    Got an owl from Dumbledore, would I like a couple of weeks' teaching work
[15674]4    I accepted
[15675]5521    That's as much as I know
[15676]0    Well 
[15677]0   
[15678]0   
[15679]117    shall I get started then
[15680]6745  'Yes, please do,' said Professor Umbridge, scribbling on her clipboard
[15681]1287   Umbridge took a different tack in this class and wandered amongst the students, questioning them on magical creatures
[15682]11855    Most people were able to answer well and Harry's spirits lifted somewhat; at least the class was not letting Hagrid down
[15683]12726   Overall,' said Professor Umbridge, returning to Professor Grubbly-Plank's side after a lengthy interrogation of Dean Thomas, how do you, as a temporary member of staff-an objective outsider, I suppose you might say-how do you find Hogwarts
[15684]384   Do you feel you receive enough support from the school management
[15685]12185  'Oh, yes, Dumbledore's excellent,' said Professor Grubbly-Plank heartily
[15686]1400    Yes, I'm very happy with the way things are run, very happy indeed
[15687]3693   'Looking politely incredulous, Umbridge made a tiny note on her clipboard and went on, And what are you planning to cover with this class this year-assuming, of course, that Professor Hagrid does not return
[15688]7437  'Oh, I'll take them through the creatures that most often come up in OWL,' said Professor Grubbly-Plank
[15689]3244    Not much left to do-they've studied unicorns and Nifflers, I thought we'd cover Porlocks and Kneazles, make sure they can recognise Crups and Knarls, you know 
[15690]0   
[15691]0   
[15692]7519   'Well, you seem to know what you're doing, at any rate,' said Professor Umbridge, making a very obvious tick on her clipboard
[15693]7297    Harry did not like the emphasis she put on you' and liked it even less when she put her next question to Goyle
[15694]346    Now, I hear there have been injuries in this class
[15695]400  'Goyle gave a stupid grin
[15696]572    Malfoy hastened to answer the question
[15697]5086   That was me,' he said
[15698]7    I was slashed by a hippogriff
[15699]6   'A hippogriff
[15700]6440  ' said Professor Umbridge, now scribbling frantically
[15701]12021   Only because he was too stupid to listen to what Hagrid told him to do,' said Harry angrily
[15702]3634   Both Ron and Hermione groaned
[15703]12794    Professor Umbridge turned her head slowly in Harry's direction
[15704]10678   Another night's detention, I think,' she said softly
[15705]6367    Well, thank you very much, Professor Grubbly-Plank, I think that's all I need here
[15706]103    You will be receiving the results of your inspection within ten days
[15707]7862   'Jolly good,' said Professor Grubbly-Plank, and Professor Umbridge set off back across the lawn to the castle
[15708]12234   It was nearly midnight when Harry left Umbridge's office that night, his hand now bleeding so severely that it was staining the scarf he had wrapped around it
[15709]4479    He expected the common room to be empty when he returned, but Ron and Hermione had sat up waiting for him
[15710]1692    He was pleased to see them, especially as Hermione was disposed to be sympathetic rather than critical
[15711]10620   Here,' she said anxiously, pushing a small bowl of yellow liquid towards him, soak your hand in that, it's a solution of strained and pickled Murtlap tentacles, it should help
[15712]6411   'Harry placed his bleeding, aching hand into the bowl and experienced a wonderful feeling of relief
[15713]365    Crookshanks curled around his legs, purring loudly, then leapt into his lap and settled down
[15714]10644   Thanks,' he said gratefully, scratching behind Crookshanks's ears with his left hand
[15715]7769   I still reckon you should complain about this,' said Ron in a low voice
[15716]10826   No,' said Harry flatly
[15717]11718   McGonagall would go nuts if she knew-'Yeah, she probably would,' said Harry dully
[15718]1973    And how long do you reckon it'd take Umbridge to pass another decree saying anyone who complains about the High Inquisitor gets sacked immediately
[15719]2951  'Ron opened his mouth to retort but nothing came out and, after a moment, he closed it again, defeated
[15720]12214   She's an awful woman,' said Hermione in a small voice
[15721]15    Awful
[15722]3907   You know, I was just saying to Ron when you came in 
[15723]0   
[15724]0   
[15725]1383    we've got to do something about her
[15726]7141   'I suggested poison,' said Ron grimly
[15727]0   No 
[15728]0   
[15729]0   
[15730]7604    I mean, something about what a dreadful teacher she is, and how we're not going to learn any Defence from her at all,' said Hermione
[15731]0   Well, what can we do about that
[15732]7100  ' said Ron, yawning
[15733]7203    ' S too late, isn't it
[15734]10307   She's got the job, she's here to stay
[15735]1195    Fudge'll make sure of that
[15736]6713   'Well,' said Hermione tentatively
[15737]923    You know, I was thinking today 
[15738]0   
[15739]0   
[15740]13962   ' she shot a slightly nervous look at Harry and then plunged on, I was thinking that- maybe the time's come when we should just-just do it ourselves
[15741]0   ' Do what ourselves
[15742]11224  ' said Harry suspiciously, still floating his hand in the essence of Murtlap tentacles
[15743]7169   Well-learn Defence Against the Dark Arts ourselves, said Hermione
[15744]2455   Come off it,' groaned Ron
[15745]462    You want us to do extra work
[15746]11412   D'you realise Harry and I are behind on homework again and it's only the second week
[15747]120  'But this is much more important than homework
[15748]6701  ' said Hermione
[15749]7740   Harry and Ron goggled at her
[15750]3392   I didn't think there was anything in the universe more important than homework
[15751]7088  ' said Ron
[15752]16874   Don't be silly, of course there is,' said Hermione, and Harry saw, with an ominous feeling, that her face was suddenly alight with the kind of fervour that SPEW usually inspired in her
[15753]26525    It's about preparing ourselves, like Harry said in Umbridge's first lesson, for what's waiting for us out there
[15754]5381    It's about making sure we really can defend ourselves
[15755]13085    If we don't learn anything for a whole year-'We can't do much by ourselves,' said Ron in a defeated voice
[15756]10203    I mean, all right, we can go and look jinxes up in the library and try and practise them, I suppose-'No, I agree, we've gone past the stage where we can just learn things out of books,' said Hermione
[15757]995    We need a teacher, a proper one, who can show us how to use the spells and correct us if we're going wrong
[15758]308   'If you're talking about Lupin 
[15759]0   
[15760]0   
[15761]5853   ' Harry began
[15762]7450   No, no, I'm not talking about Lupin,' said Hermione
[15763]9835    He's too busy with the Order and, anyway, the most we could see him is during Hogsmeade weekends and that's not nearly often enough
[15764]0   'Who, then
[15765]10859  ' said Harry, frowning at her
[15766]1721   Hermione heaved a very deep sigh
[15767]2425   Isn't it obvious
[15768]5086  ' she said
[15769]6317    I'm talking about you,Harry
[15770]5097   'There was a moment's silence
[15771]2353    A light night breeze rattled the windowpanes behind Ron, and the fire guttered
[15772]0   About me what
[15773]10818  ' said Harry
[15774]1055   I'm talking about you teaching us Defence Against the Dark Arts
[15775]5854   ' Harry stared at her
[15776]5021    Then he turned to Ron, ready to exchange the exasperated looks they sometimes shared when Hermione elaborated on far-fetched schemes like SPEW
[15777]13619    To Harry's consternation, however, Ron did not look exasperated
[15778]352   He was frowning slightly, apparently thinking
[15779]9947    Then he said, That's an idea
[15780]4861   'What's an idea
[15781]10818  ' said Harry
[15782]7088   You,' said Ron
[15783]27    Teaching us to do it
[15784]0   'But 
[15785]0   
[15786]0   
[15787]6166   'Harry was grinning now, sure the pair of them were pulling his leg
[15788]15963   But I'm not a teacher, I can't-'Harry, you're the best in the year at Defence Against the Dark Arts,' said Hermione
[15789]0   Me
[15790]10871  ' said Harry now grinning more broadly than ever
[15791]10370    No, I'm not, you've beaten me in every test-'Actually I haven't,' said Hermione coolly
[15792]961    You beat me in our third year-the only year we both sat the test and had a teacher who actually knew the subject
[15793]6344    But I'm not talking about test results, Harry
[15794]1255    Think what you've done
[15795]852  'How d'you mean
[15796]10762  'You know what, I'm not sure I want someone this stupid teaching me,' Ron said to Hermione, smirking slightly
[15797]6064    He turned to Harry
[15798]12134   Let's think,' he said, pulling a face like Goyle concentrating
[15799]5    Uh 
[15800]0   
[15801]0   
[15802]5842    first year-you saved the Philosopher's Stone from You-Know-Who
[15803]15853   'But that was luck,' said Harry, it wasn't skill-'Second year,' Ron interrupted, you killed the Basilisk and destroyed Riddle
[15804]22358   'Yeah, but if Fawkes hadn't turned up, I-'Third year,' said Ron, louder still, you fought off about a hundred dementors at once-'You know that was a fluke, if the Time-Turner hadn't-'Last year,' Ron said, almost shouting now, you fought off You-know-Who again-'Listen to me
[15805]14541  ' said Harry, almost angrily, because Ron and Hermione were both smirking now
[15806]1440    Just listen to me, all right
[15807]23417   It sounds great when you say it like that, but all that stuff was luck-I didn't know what I was doing half the time, I didn't plan any of it, I just did whatever I could think of, and I nearly always had help-'Ron and Hermione were still smirking and Harry felt his temper rise; he wasn't even sure why he was feeling so angry
[15808]7164   Don't sit there grinning like you know better than I do, I was there, wasn't I
[15809]5092  ' he said heatedly
[15810]1526    I know what went on, all right
[15811]9828   And I didn't get through any of that because I was brilliant at Defence Against the Dark Arts, I got through it all because- because help came at the right time, or because I guessed right-but I just blundered through it all, I didn't have a clue what I was doing-STOP LAUGHING
[15812]480  'The bowl of Murtlap essence fell to the floor and smashed
[15813]2964    He became aware that he was on his feet, though he couldn't remember standing up
[15814]386    Crookshanks streaked away under a sofa
[15815]8427    Ron and Hermione's smiles had vanished
[15816]9196   You don't know what it's like
[15817]1214  You-neither of you-you've never had to face him, have you
[15818]7096   You think it's just memorising a bunch of spells and throwing them at him, like you're in class or something
[15819]37499   The whole time you're sure you know there's nothing between you and dying except your own-your own brain or guts or whatever-like you can think straight when you know you're about a nanosecond from being murdered, or tortured, or watching your friends die- they've never taught us that in their classes, what it's like to deal with things like that-and you two sit there acting like I'm a clever little boy to be standing here, alive, like Diggory was stupid, like he messed up-you just don't get it, that could just as easily have been me, it would have been if Voldemort hadn't needed me-'We weren't saying anything like that, mate,' said Ron, looking aghast
[15820]9677    We weren't having a go at Diggory, we didn't-you've got the wrong end of the-'He looked helplessly at Hermione, whose face was stricken
[15821]13764   Harry,' she said timidly, don't you see
[15822]0   This 
[15823]0   
[15824]0   
[15825]284    this is exactly why we need you 
[15826]0   
[15827]0   
[15828]6736    we need to know what it's r-really like 
[15829]0   
[15830]0   
[15831]30    facing him 
[15832]0   
[15833]0   
[15834]268    facing V-Voldemort
[15835]16358   'It was the first time she had ever said Voldemort's name and it was this, more than anything else, that calmed Harry
[15836]1445    Still breathing hard, he sank back into his chair, becoming aware as he did so that his hand was throbbing horribly again
[15837]91    He wished he had not smashed the bowl of Murtlap essence
[15838]0   Well 
[15839]0   
[15840]0   
[15841]7400    think about it,' said Hermione quietly
[15842]0    Please
[15843]6564  'Harry could not think of anything to say
[15844]183    He was feeling ashamed of his outburst already
[15845]136    He nodded, hardly aware of what he was agreeing to
[15846]1771   Hermione stood up
[15847]6523   Well, I'm off to bed,' she said, in a voice that was clearly as natural as she could make it
[15848]13    Erm 
[15849]0   
[15850]0   
[15851]190    night
[15852]2936   'Ron had got to his feet, too
[15853]106   Coming
[15854]10827  ' he said awkwardly to Harry
[15855]11095   Yeah,' said Harry
[15856]0    In 
[15857]0   
[15858]0   
[15859]38    in a minute
[15860]1439    I'll just clear this up
[15861]327   'He indicated the smashed bowl on the floor
[15862]2335    Ron nodded and left
[15863]6403   Reparo,' Harry muttered, pointing his wand at the broken pieces of china
[15864]591    They flew back together, good as new, but there was no returning the Murtlap essence to the bowl
[15865]2723   He was suddenly so tired he was tempted to sink back into his armchair and sleep there, but instead he forced himself to his feet and followed Ron upstairs
[15866]1030    His restless night was punctuated once more by dreams of long corridors and locked doors and he awoke next day with his scar prickling again
[15867]59     J
[15868]56   K
[15869]742    RowlingHarry Potter&The Order of the Phoenix 
[15870]0    
[15871]0    
[15872]0    
[15873]0    
[15874]0    
[15875]0    
[15876]5484    Lionfish 11/Nov/2007     Chapter Sixteen     In the Hog's HeadContents  Prev Chapter  Next Chapter  
[15877]8003     Hermione made no mention of Harry giving Defence Against the Dark Arts lessons for two whole weeks after her original suggestion
[15878]17411    Harry's detentions with Umbridge were finally over (he doubted whether the words now etched into the back of his hand would ever fade entirely); Ron had had four more Quidditch practices and not been shouted at during the last two; and all three of them had managed to Vanish their mice in Transfiguration (Hermione had actually progressed to Vanishing kittens), before the subject was broached again, on a wild, blustery evening at the end of September, when the three of them were sitting in the library, looking up potion ingredients for Snape
[15879]14026   I was wondering,' Hermione said suddenly, whether you'd thought any more about Defence Against the Dark Arts, Harry
[15880]18167   'Course I have,' said Harry grumpily, can't forget it, can we, with that hag teaching us-'I meant the idea Ron and I had-' Ron cast her an alarmed, threatening kind of look
[15881]1064    She frowned at him, -Oh, all right, the idea I had, then-about you teaching us
[15882]6472   'Harry did not answer at once
[15883]1504    He pretended to be perusing a page of Asiatic Anti-Venoms, because he did not want to say what was in his mind
[15884]1006   He had given the matter a great deal of thought over the past fortnight
[15885]3761    Sometimes it seemed an insane idea, just as it had on the night Hermione had proposed it, but at others, he had found himself thinking about the spells that had served him best in his various encounters with Dark creatures and Death Eaters-found himself, in fact, subconsciously planning lessons 
[15886]0   
[15887]0   
[15888]6882   Well,' he said slowly, when he could no longer pretend to find Asiatic Anti-Venoms interesting, yeah, I-I've thought about it a bit
[15889]0   'And
[15890]6752  ' said Hermione eagerly
[15891]11457   I dunno,' said Harry, playing for time
[15892]2678    He looked up at Ron
[15893]14627   I thought it was a good idea from the start,' said Ron, who seemed keener to join in this conversation now that he was sure Harry was not going to start shouting again
[15894]5866   Harry shifted uncomfortably in his chair
[15895]8574   You did listen to what I said about a load of it being luck, didn't you
[15896]18393  ' Yes, Harry,' said Hermione gently, but all the same, there's no point pretending that you're not good at Defence Against the Dark Arts, because you are
[15897]11052    You were the only person last year who could throw off the Imperius Curse completely, you can produce a Patronus, you can do all sorts of stuff that full-grown wizards can't, Viktor always said-'Ron looked round at her so fast he appeared to crick his neck
[15898]5378    Rubbing it, he said, Yeah
[15899]940   What did Vicky say
[15900]7265  'Ho ho,' said Hermione in a bored voice
[15901]14074    He said Harry knew how to do stuff even he didn't, and he was in the final year at Durmstrang
[15902]4233   'Ron was looking at Hermione suspiciously
[15903]24   You're not still in contact with him, are you
[15904]0  'So what if I am
[15905]7583  ' said Hermione coolly, though her face was a little pink
[15906]10143    I can have a pen-pal if I-'He didn't only want to be your pen-pal,' said Ron accusingly
[15907]15677   Hermione shook her head exasperatedly and, ignoring Ron, who was continuing to watch her, said to Harry, Well, what do you think
[15908]36   Will you teach us
[15909]3087  'Just you and Ron, yeah
[15910]7341  'Well,' said Hermione, looking a mite anxious again
[15911]0    Well 
[15912]0   
[15913]0   
[15914]8730    now, don't fly off the handle again, Harry, please 
[15915]0   
[15916]0   
[15917]1011    but I really think you ought to teach anyone who wants to learn
[15918]615    I mean, we're talking about defending ourselves against V-Voldemort
[15919]5311    Oh, don't be pathetic, Ron
[15920]5746    It doesn't seem fair if we don't offer the chance to other people
[15921]11756   'Harry considered this for a moment, then said, Yeah, but I doubt anyone except you two would want to be taught by me
[15922]552    I'm a nutter, remember
[15923]9391  'Well, I think you might be surprised how many people would be interested in hearing what you've got to say,' said Hermione seriously
[15924]8924    Look,' she leaned towards him- Ron, who was still watching her with a frown on his face, leaned forwards to listen too-'you know the first weekend in October's a Hogsmeade weekend
[15925]5289   How would it be if we tell anyone who's interested to meet us in the village and we can talk it over
[15926]353  'Why do we have to do it outside school
[15927]7088  ' said Ron
[15928]10852   Because,' said Hermione, returning to the diagram of the Chinese Chomping Cabbage she was copying, I don't think Umbridge would be very happy if she found out what we were up to
[15929]6643   'Harry had been looking forward to the weekend trip into Hogsmeade, but there was one thing worrying him
[15930]12408    Sirius had maintained a stony silence since he had appeared in the fire at the beginning of September; Harry knew they had made him angry by saying they didn't want him to come-but he still worried from time to time that Sirius might throw caution to the winds and turn up anyway
[15931]1915    What were they going to do if the great black dog came bounding up the street towards them in Hogsmeade, perhaps under the nose of Draco Malfoy
[15932]16794  Well, you can't blame him for wanting to get out and about,' said Ron, when Harry discussed his fears with him and Hermione
[15933]13222    I mean, he's been on the run for over two years, hasn't he, and I know that can't have been a laugh, but at least he was free, wasn't he
[15934]6318   And now he's just shut up all the time with that ghastly elf
[15935]3786   'Hermione scowled at Ron, but otherwise ignored the slight on Kreacher
[15936]22177   The trouble is,' she said to Harry, until V-Voldemort-oh, for heaven's sake,Ron- comes out into the open, Sirius is going to have to stay hidden, isn't he
[15937]9818   I mean, the stupid Ministry isn't going to realise Sirius is innocent until they accept that Dumbledore's been telling the truth about him all along
[15938]4044    And once the fools start catching real Death Eaters again, it'll be obvious Sirius isn't one 
[15939]0   
[15940]0   
[15941]3486    I mean, he hasn't got the Mark, for one thing
[15942]10849   ' I don't reckon he'd be stupid enough to turn up,' said Ron bracingly
[15943]6814    Dumbledore'd go mad if he did and Sirius listens to Dumbledore even if he doesn't like what he hears
[15944]16734   'When Harry continued to look worried, Hermione said, Listen, Ron and I have been sounding out people who we thought might want to learn some proper Defence Against the Dark Arts, and there are a couple who seem interested
[15945]1093    We've told them to meet us in Hogsmeade
[15946]12199   'Right,' said Harry vaguely, his mind still on Sirius
[15947]15556   Don't worry, Harry,' Hermione said quietly
[15948]2061    You've got enough on your plate without Sirius, too
[15949]2266   'She was quite right, of course, he was barely keeping up with his homework, though he was doing much better now that he was no longer spending every evening in detention with Umbridge
[15950]10172    Ron was even further behind with his work than Harry, because while they both had Quidditch practice twice a week, Ron also had his prefect duties
[15951]2586    However, Hermione, who was taking more subjects than either of them, had not only finished all her homework but was also finding time to knit more elf clothes
[15952]6122    Harry had to admit that she was getting better; it was now almost always possible to distinguish between the hats and the socks
[15953]211   The morning of the Hogsmeade visit dawned bright but windy
[15954]829    Alter breakfast they queued up in front of Filch, who matched their names to the long list of students who had permission from their parents or guardian to visit the village
[15955]9344    With a slight pang, Harry remembered that if it hadn't been for Sirius, he would not have been going at all
[15956]12447   When Harry reached Filch, the caretaker gave a great sniff as though trying to detect a whiff of something from Harry
[15957]6725    Then he gave a curt nod that set his jowls aquiver again and Harry walked on, out on to the stone steps and the cold, sunlit day
[15958]237   Er-why was Filch sniffing you
[15959]9974  ' asked Ron, as he, Harry and Hermione set off at a brisk pace down the wide drive to the gates
[15960]11138   I suppose he was checking for the smell of Dungbombs,' said Harry with a small laugh
[15961]353    I forgot to tell you 
[15962]0   
[15963]0   
